# Raman tensors calculated by Gaussian
# Gaussian .LOG-file: /home/jonas/code/python/PolaRam/gaussian/GLYKOGENFRAGMENT.LOG

# Gaussian calculation settings:
# ******************************************
# Gaussian 16:  EM64W-G16RevB.01 16-Dec-2017
# 14-Sep-2020
# ******************************************
# %nprocshared = 6
# Will use up to    6 processors via shared memory.
# %chk=C:\Users\no83wec\Documents\BA_projektmodul\2020_09_14\glycogenFragment\glyk
# ogenFragment.chk
# -------------------------------------------------------------------
# # opt freq(raman, printderivatives) b3lyp/6-31+G* geom=connectivity

! v_1 = 17.9395/cm
-0.0617548   0.0036205  -0.0015785 
 0.0036205   0.031174   -0.00791442
-0.0015785  -0.00791442  0.0231977 

! v_2 = 39.9802/cm
-0.105662   -0.0412654  -0.00506811
-0.0412654  -0.0124967   0.00215342
-0.00506811  0.00215342  0.0798183 

! v_3 = 53.3716/cm
 0.0264644   0.0170918   0.0177839 
 0.0170918   0.0251257  -0.00695736
 0.0177839  -0.00695736 -0.0355323 

! v_4 = 63.4311/cm
 0.132326   -0.0257951   0.0175685 
-0.0257951  -0.00243134  0.0340966 
 0.0175685   0.0340966  -0.0233418 

! v_5 = 85.1896/cm
 0.0618183  -0.00845358  0.0553507 
-0.00845358 -0.0152394  -0.0269379 
 0.0553507  -0.0269379  -0.0257158 

! v_6 = 90.7863/cm
 0.0504454  -0.040248    0.00742551
-0.040248   -0.0259435   0.00541748
 0.00742551  0.00541748 -0.00092623

! v_7 = 101.7976/cm
 0.0641254   0.103623    0.00176016
 0.103623    0.0182733  -0.012435  
 0.00176016 -0.012435    0.00139632

! v_8 = 123.9470/cm
 0.0153434  -0.00566612  0.0610597 
-0.00566612 -0.0268344   0.00670245
 0.0610597   0.00670245 -0.00382518

! v_9 = 133.0218/cm
 0.04518   -0.0174199 -0.0959721
-0.0174199  0.0202824  0.0305129
-0.0959721  0.0305129  0.0420552

! v_10 = 154.3538/cm
-0.0913151  -0.0631512   0.0100217 
-0.0631512  -0.0314312   0.0937223 
 0.0100217   0.0937223  -0.00607819

! v_11 = 173.9083/cm
-0.0476205  0.0382611  0.0693067
 0.0382611  0.120508  -0.131889 
 0.0693067 -0.131889  -0.0417568

! v_12 = 180.7930/cm
 0.18679    0.0595507 -0.0134591
 0.0595507  0.033945   0.0265336
-0.0134591  0.0265336  0.143858 

! v_13 = 202.8728/cm
-0.100514   0.123597  -0.103294 
 0.123597  -0.0773857  0.229033 
-0.103294   0.229033  -0.0316624

! v_14 = 207.5825/cm
 0.0945362  -0.0473523   0.107945  
-0.0473523  -0.00118335 -0.0504408 
 0.107945   -0.0504408   0.0420644 

! v_15 = 210.7645/cm
 0.0763053   0.101479   -0.0939409 
 0.101479   -0.13448    -0.00476189
-0.0939409  -0.00476189  0.00528697

! v_16 = 237.2431/cm
 0.0507405  0.0820061 -0.0120269
 0.0820061 -0.0248449 -0.0751048
-0.0120269 -0.0751048 -0.0487902

! v_17 = 244.1685/cm
-0.0413088 -0.0638864  0.078179 
-0.0638864  0.0347441 -0.0228218
 0.078179  -0.0228218 -0.0149379

! v_18 = 246.3863/cm
 0.0490661 -0.0561353 -0.0675957
-0.0561353 -0.0124435  0.0189604
-0.0675957  0.0189604 -0.0384686

! v_19 = 257.6584/cm
-0.169347    0.0431321  -0.0284314 
 0.0431321   0.0803302  -0.0518366 
-0.0284314  -0.0518366  -0.00222418

! v_20 = 263.3972/cm
 0.0717349 -0.0183108  0.0288112
-0.0183108 -0.091047  -0.0287454
 0.0288112 -0.0287454 -0.0373844

! v_21 = 298.8674/cm
-0.0834239  -0.142875    0.0225096 
-0.142875    0.167178   -0.00674132
 0.0225096  -0.00674132 -0.0608093 

! v_22 = 304.4756/cm
 0.00704214  0.00928668  0.0571114 
 0.00928668  0.157428   -0.0731673 
 0.0571114  -0.0731673  -0.0216676 

! v_23 = 332.1473/cm
-0.0897916 -0.109946   0.0922238
-0.109946  -0.0792292 -0.0796075
 0.0922238 -0.0796075 -0.0963276

! v_24 = 343.5967/cm
-0.492747   0.187626  -0.0273856
 0.187626  -0.212372   0.0119298
-0.0273856  0.0119298 -0.0925237

! v_25 = 361.2885/cm
 0.126613   0.11044   -0.218928 
 0.11044   -0.20295   -0.0280233
-0.218928  -0.0280233  0.029967 

! v_26 = 380.1402/cm
 0.0972785 -0.092785  -0.0987552
-0.092785   0.487203   0.106289 
-0.0987552  0.106289   0.103938 

! v_27 = 394.7416/cm
-0.274553   0.0291443  0.0419676
 0.0291443 -0.0571147  0.133706 
 0.0419676  0.133706   0.126742 

! v_28 = 399.1643/cm
-0.00405356 -0.106474   -0.0707116 
-0.106474   -0.0719724  -0.0164038 
-0.0707116  -0.0164038  -0.0579093 

! v_29 = 404.4129/cm
 0.0476788  0.17407   -0.114444 
 0.17407   -0.0773128 -0.0349299
-0.114444  -0.0349299 -0.110326 

! v_30 = 411.3522/cm
-0.0196311  -0.245325    0.0418252 
-0.245325   -0.00592922 -0.106173  
 0.0418252  -0.106173    0.0690885 

! v_31 = 415.4393/cm
 0.0775273   0.00302272  0.0829188 
 0.00302272  0.286412   -0.131545  
 0.0829188  -0.131545    0.0604239 

! v_32 = 428.1141/cm
 0.140601   0.0566486  0.0545421
 0.0566486  0.0715146 -0.0289332
 0.0545421 -0.0289332 -0.0195679

! v_33 = 434.1896/cm
-0.0731261   0.00978559  0.00122703
 0.00978559 -0.0246653  -0.1627    
 0.00122703 -0.1627      0.0376606 

! v_34 = 443.6075/cm
-0.00624484 -0.0121788   0.091487  
-0.0121788  -0.310526   -0.106148  
 0.091487   -0.106148   -0.0643094 

! v_35 = 480.9756/cm
 0.0671065  0.0965154 -0.0285918
 0.0965154 -0.217495  -0.0408299
-0.0285918 -0.0408299 -0.0290618

! v_36 = 485.3514/cm
-0.340005   -0.0741527   0.126616  
-0.0741527  -0.321334    0.0236949 
 0.126616    0.0236949  -0.00084831

! v_37 = 532.3149/cm
-0.0394315  -0.0383756   0.124985  
-0.0383756   0.00726796 -0.00662015
 0.124985   -0.00662015  0.0268686 

! v_38 = 542.8750/cm
-0.490739   -0.00665731 -0.154086  
-0.00665731 -0.403231   -0.0438159 
-0.154086   -0.0438159  -0.289547  

! v_39 = 560.8024/cm
-0.0682565   0.0331699  -0.0124203 
 0.0331699  -0.151796   -0.00609984
-0.0124203  -0.00609984 -0.00824943

! v_40 = 573.0270/cm
 0.326415  -0.0373176  0.0975539
-0.0373176 -0.253434  -0.104955 
 0.0975539 -0.104955  -0.195641 

! v_41 = 585.1377/cm
 0.280724    0.00598993 -0.0149166 
 0.00598993  0.141376   -0.194824  
-0.0149166  -0.194824    0.0581853 

! v_42 = 606.2491/cm
-0.16256    -0.0469509  -0.0376038 
-0.0469509   0.0400632   0.00567548
-0.0376038   0.00567548  0.0494131 

! v_43 = 635.8470/cm
 0.0972854  -0.0312304  -0.00190882
-0.0312304   0.138914    0.0255044 
-0.00190882  0.0255044  -0.00918327

! v_44 = 638.5291/cm
-0.109483    0.0605653  -0.0564732 
 0.0605653   0.0481545   0.028746  
-0.0564732   0.028746    0.00565955

! v_45 = 658.4253/cm
-0.0540718 -0.0273228 -0.0264346
-0.0273228 -0.126734  -0.147754 
-0.0264346 -0.147754  -0.0387455

! v_46 = 756.6441/cm
0.156624  0.129722  0.117508 
0.129722  0.146643  0.086521 
0.117508  0.086521  0.0302767

! v_47 = 788.9340/cm
-0.00168585 -0.0945723  -0.0206287 
-0.0945723  -0.0514269   0.0671144 
-0.0206287   0.0671144   0.171203  

! v_48 = 853.2376/cm
-0.420926   0.192597  -0.212508 
 0.192597  -0.205849   0.123817 
-0.212508   0.123817  -0.0954151

! v_49 = 897.0443/cm
-0.530416   0.156612   0.149879 
 0.156612   0.0531994  0.0671359
 0.149879   0.0671359 -0.117121 

! v_50 = 907.4471/cm
 0.32794    0.0747694  0.120829 
 0.0747694 -0.143966   0.0847269
 0.120829   0.0847269 -0.0886001

! v_51 = 933.7049/cm
 0.354498  0.226849 -0.088703
 0.226849  0.338582 -0.121311
-0.088703 -0.121311  0.265472

! v_52 = 994.5361/cm
-0.221706   -0.0227144  -0.00404184
-0.0227144  -0.171335   -0.113124  
-0.00404184 -0.113124   -0.0347368 

! v_53 = 998.1355/cm
 0.264594  -0.0182359  0.0467065
-0.0182359  0.158169   0.0552349
 0.0467065  0.0552349  0.0461354

! v_54 = 1007.4960/cm
-0.185176  -0.0966668  0.024003 
-0.0966668 -0.0493028 -0.0214561
 0.024003  -0.0214561  0.193759 

! v_55 = 1021.8606/cm
-0.287783  -0.212403   0.027557 
-0.212403  -0.15438   -0.0136701
 0.027557  -0.0136701 -0.142527 

! v_56 = 1038.9804/cm
-0.0794741  0.0271439 -0.0451983
 0.0271439 -0.0942375 -0.180633 
-0.0451983 -0.180633   0.214914 

! v_57 = 1044.4784/cm
-0.185665  -0.0922349 -0.0134292
-0.0922349 -0.4111    -0.111561 
-0.0134292 -0.111561   0.0614946

! v_58 = 1053.0837/cm
-0.428837  -0.0287389  0.0162946
-0.0287389 -0.169421  -0.116509 
 0.0162946 -0.116509   0.0308513

! v_59 = 1062.9811/cm
-0.143578  -0.0570782 -0.0482947
-0.0570782 -0.0140844 -0.0544143
-0.0482947 -0.0544143 -0.0635536

! v_60 = 1065.7891/cm
-0.0491815  0.144615   0.1026   
 0.144615   0.306571   0.0586916
 0.1026     0.0586916  0.142624 

! v_61 = 1082.8365/cm
-0.284612  -0.0447694  0.125615 
-0.0447694  0.180464  -0.062916 
 0.125615  -0.062916   0.104023 

! v_62 = 1087.2799/cm
 0.566883  -0.0543924  0.22305  
-0.0543924  0.149647  -0.0738334
 0.22305   -0.0738334  0.117491 

! v_63 = 1096.3069/cm
-0.261455  -0.220643  -0.171165 
-0.220643   0.0891842  0.123444 
-0.171165   0.123444  -0.120578 

! v_64 = 1099.8504/cm
-0.28396   -0.318135  -0.0765755
-0.318135  -0.754332  -0.15363  
-0.0765755 -0.15363    0.12039  

! v_65 = 1111.3947/cm
 0.22129   -0.358278   0.0253846
-0.358278   0.310243  -0.0325345
 0.0253846 -0.0325345  0.134737 

! v_66 = 1113.7798/cm
-0.511298   0.0597716 -0.0800035
 0.0597716  0.306864  -0.0393551
-0.0800035 -0.0393551  0.130358 

! v_67 = 1118.1511/cm
 0.199085   -0.255165   -0.305457  
-0.255165    0.506793   -0.00567927
-0.305457   -0.00567927 -0.121499  

! v_68 = 1128.0980/cm
 0.0508683 -0.0672106  0.386373 
-0.0672106  0.0898958 -0.213107 
 0.386373  -0.213107   0.179513 

! v_69 = 1140.1745/cm
-0.377821    0.344317    0.132102  
 0.344317   -0.248502   -0.367253  
 0.132102   -0.367253    0.00542622

! v_70 = 1148.8314/cm
 0.0768229  0.0059288  0.156472 
 0.0059288 -0.393557   0.066803 
 0.156472   0.066803   0.200332 

! v_71 = 1154.0307/cm
-0.143453  -0.379099  -0.119093 
-0.379099  -0.0556901  0.0967085
-0.119093   0.0967085  0.296748 

! v_72 = 1160.6984/cm
 0.122954    0.243115   -0.00328327
 0.243115   -0.0312476   0.0310891 
-0.00328327  0.0310891  -0.157106  

! v_73 = 1164.6569/cm
 0.0496053 -0.0641961 -0.0563056
-0.0641961  0.224403  -0.118976 
-0.0563056 -0.118976   0.0173265

! v_74 = 1208.2133/cm
-0.159498   0.163022  -0.0507002
 0.163022   0.103574   0.0813562
-0.0507002  0.0813562 -0.374961 

! v_75 = 1215.2309/cm
-0.0506059  -0.0532966  -0.00659504
-0.0532966   0.0380236   0.0728914 
-0.00659504  0.0728914  -0.0388376 

! v_76 = 1222.6852/cm
-0.06502    0.302984   0.0437262
 0.302984  -0.0556213  0.121186 
 0.0437262  0.121186  -0.187595 

! v_77 = 1249.0367/cm
-0.134836   0.0621665  0.239038 
 0.0621665  0.254685   0.173088 
 0.239038   0.173088   0.198759 

! v_78 = 1254.1562/cm
 0.31524   -0.0600139  0.150718 
-0.0600139 -0.0521258 -0.249692 
 0.150718  -0.249692  -0.159383 

! v_79 = 1259.9112/cm
 0.349762  -0.0860948  0.145765 
-0.0860948 -0.276849   0.348856 
 0.145765   0.348856   0.202135 

! v_80 = 1280.8461/cm
 0.46894    0.0463054 -0.256271 
 0.0463054 -0.187198   0.0692701
-0.256271   0.0692701 -0.175469 

! v_81 = 1291.6669/cm
 0.0199606 -0.0665342  0.0458172
-0.0665342  0.101852   0.0332727
 0.0458172  0.0332727 -0.019956 

! v_82 = 1299.8887/cm
 0.128717  -0.0176576 -0.0846537
-0.0176576 -0.283858   0.257837 
-0.0846537  0.257837   0.07036  

! v_83 = 1313.0545/cm
-0.0229182  0.0122024 -0.0844431
 0.0122024 -0.220451   0.280268 
-0.0844431  0.280268  -0.0644842

! v_84 = 1315.3018/cm
-0.338588   0.276535  -0.106542 
 0.276535   0.277335  -0.0447782
-0.106542  -0.0447782  0.0902864

! v_85 = 1332.7355/cm
 0.0913618  0.159796  -0.139228 
 0.159796  -0.158014   0.0623284
-0.139228   0.0623284  0.101064 

! v_86 = 1343.7855/cm
 0.110101   0.0500177 -0.13851  
 0.0500177  0.0263903 -0.246246 
-0.13851   -0.246246  -0.301658 

! v_87 = 1352.4186/cm
 0.128415  -0.188912   0.0810485
-0.188912   0.105588  -0.100328 
 0.0810485 -0.100328  -0.243429 

! v_88 = 1359.8658/cm
 0.0209882 -0.0599416  0.132414 
-0.0599416  0.0268273  0.267956 
 0.132414   0.267956  -0.0893559

! v_89 = 1362.7914/cm
 0.198649  -0.0608561  0.0372604
-0.0608561 -0.0850313  0.0936868
 0.0372604  0.0936868 -0.0640107

! v_90 = 1367.9503/cm
-0.101941   0.258511  -0.206064 
 0.258511   0.0585898  0.204009 
-0.206064   0.204009   0.153636 

! v_91 = 1373.6340/cm
-0.261851   0.205349   0.216203 
 0.205349   0.221825   0.293423 
 0.216203   0.293423   0.0262916

! v_92 = 1385.1907/cm
 0.865677  -0.0365461  0.224201 
-0.0365461 -0.34781    0.183232 
 0.224201   0.183232  -0.210899 

! v_93 = 1388.8060/cm
-0.0353292  0.0922119 -0.176828 
 0.0922119 -0.1771     0.127301 
-0.176828   0.127301  -0.180509 

! v_94 = 1393.9185/cm
 0.175378  -0.196868  -0.0940897
-0.196868   0.0620103 -0.102676 
-0.0940897 -0.102676  -0.0559734

! v_95 = 1405.1126/cm
 0.115168   0.198285   0.11415  
 0.198285  -0.183071   0.0677187
 0.11415    0.0677187 -0.24581  

! v_96 = 1417.5963/cm
 0.274102  -0.243311   0.274382 
-0.243311  -0.0683048 -0.079918 
 0.274382  -0.079918  -0.146509 

! v_97 = 1422.1101/cm
 0.357524   0.231793  -0.255637 
 0.231793  -0.337114  -0.0605487
-0.255637  -0.0605487 -0.125879 

! v_98 = 1430.5342/cm
 0.523786 -0.110894 -0.198872
-0.110894 -0.303553 -0.150253
-0.198872 -0.150253 -0.042935

! v_99 = 1439.0423/cm
 0.21318   -0.136453  -0.195029 
-0.136453  -0.159343  -0.187339 
-0.195029  -0.187339  -0.0168732

! v_100 = 1440.7586/cm
 0.50215   -0.0162163  0.145883 
-0.0162163 -0.138613  -0.0651726
 0.145883  -0.0651726 -0.0888466

! v_101 = 1452.1050/cm
-0.0649013 -0.0960095  0.06618  
-0.0960095 -0.155392   0.177554 
 0.06618    0.177554   0.195575 

! v_102 = 1457.1192/cm
-0.0568137  -0.00572374  0.0527356 
-0.00572374  0.0608991   0.101968  
