# polaram simulate /home/jonas/Dokumente/uni/semester7/bachelorarbeit/scripts/auswertungSpektren/polaram/witec.txt --output /home/jonas/Dokumente/uni/semester7/bachelorarbeit/scripts/auswertungSpektren/polaram/result_witec_phenylalanine.txt --log /home/jonas/code/python/PolaRam/log/muellersimulation.log --matrix /home/jonas/Dokumente/uni/semester7/bachelorarbeit/scripts/auswertungSpektren/polaram/labratoryMatrixPhenylalanine.txt
# Execution time: 2021-01-02 15:17:33.300066

# State.Header   Initial.State.S0  Initial.State.S1  Initial.State.S2  Initial.State.S3     Final.State.S0  Final.State.S1  Final.State.S2  Final.State.S3
v_1_=_33.9110/cm  1.0215836  0.84271433 0.11953466 0.               0.06075326  0.00560624 -0.00211035  0.        
v_2_=_42.9975/cm  1.0215836  0.84271433 0.11953466 0.               0.07551698  0.00716765 -0.00259507  0.        
v_3_=_54.9092/cm  1.0215836  0.84271433 0.11953466 0.               0.02834472  0.00289169 -0.00094563  0.        
v_4_=_91.9286/cm  1.0215836  0.84271433 0.11953466 0.               0.04973853  0.00587752 -0.00154854  0.        
v_5_=_179.9603/cm  1.0215836  0.84271433 0.11953466 0.               0.04835337  0.00510908 -0.00158426  0.        
v_6_=_245.1754/cm  1.0215836  0.84271433 0.11953466 0.               0.00720433  0.00100336 -0.00019923  0.        
v_7_=_289.3892/cm  1.0215836  0.84271433 0.11953466 0.               0.04048505  0.00881676 -0.00067214  0.        
v_8_=_298.6721/cm  1.0215836  0.84271433 0.11953466 0.               0.04250532  0.01100711 -0.0004501   0.        
v_9_=_317.1495/cm  1.0215836  0.84271433 0.11953466 0.              3.30982435e-02 1.11889188e-02 2.94627656e-05 0.00000000e+00
v_10_=_358.5207/cm  1.0215836  0.84271433 0.11953466 0.               1.03678469e-03  1.91867236e-04 -2.18911932e-05  0.00000000e+00
v_11_=_416.0615/cm  1.0215836  0.84271433 0.11953466 0.               4.23296456e-04  1.12945358e-04 -4.04250790e-06  0.00000000e+00
v_12_=_458.2468/cm  1.0215836  0.84271433 0.11953466 0.              0.08607267 0.03075777 0.00031409 0.        
v_13_=_519.3121/cm  1.0215836  0.84271433 0.11953466 0.               0.01719337  0.00254901 -0.00045714  0.        
v_14_=_597.9584/cm  1.0215836  0.84271433 0.11953466 0.               0.03067185  0.00528611 -0.0007007   0.        
v_15_=_627.0428/cm  1.0215836  0.84271433 0.11953466 0.               0.0347291   0.00716307 -0.00063037  0.        
v_16_=_634.8215/cm  1.0215836  0.84271433 0.11953466 0.               0.08261564  0.00764396 -0.00287801  0.        
v_17_=_644.0624/cm  1.0215836  0.84271433 0.11953466 0.               0.04240563  0.01138493 -0.00039311  0.        
v_18_=_711.3407/cm  1.0215836  0.84271433 0.11953466 0.               1.95157862e-03  6.35894605e-04 -1.45422604e-06  0.00000000e+00
v_19_=_755.2786/cm  1.0215836  0.84271433 0.11953466 0.              0.16570052 0.07607082 0.00305235 0.        
v_20_=_771.8421/cm  1.0215836  0.84271433 0.11953466 0.              0.03551563 0.01570006 0.00056525 0.        
v_21_=_804.1376/cm  1.0215836  0.84271433 0.11953466 0.              0.08719193 0.03129126 0.00033997 0.        
v_22_=_834.6371/cm  1.0215836  0.84271433 0.11953466 0.              0.14528081 0.05894611 0.00156769 0.        
v_23_=_859.3486/cm  1.0215836  0.84271433 0.11953466 0.               0.01405805  0.00144249 -0.00046627  0.        
v_24_=_864.7519/cm  1.0215836  0.84271433 0.11953466 0.              0.04942721 0.02042431 0.00058268 0.        
v_25_=_926.4249/cm  1.0215836  0.84271433 0.11953466 0.               0.07080079  0.00883572 -0.0021264   0.        
v_26_=_971.2632/cm  1.0215836  0.84271433 0.11953466 0.               3.59300144e-02  1.14177272e-02 -7.14424157e-05  0.00000000e+00
v_27_=_979.7681/cm  1.0215836  0.84271433 0.11953466 0.               7.64247294e-04  2.14716954e-04 -5.71418115e-06  0.00000000e+00
v_28_=_1001.1721/cm  1.0215836  0.84271433 0.11953466 0.               2.51084213e-03  5.44729176e-04 -4.18145208e-05  0.00000000e+00
v_29_=_1016.2137/cm  1.0215836  0.84271433 0.11953466 0.              0.81906633 0.36762858 0.01388385 0.        
v_30_=_1033.0237/cm  1.0215836  0.84271433 0.11953466 0.               0.54520172  0.13974498 -0.0059754   0.        
v_31_=_1054.6929/cm  1.0215836  0.84271433 0.11953466 0.              0.4221153  0.19330588 0.00771736 0.        
v_32_=_1106.2333/cm  1.0215836  0.84271433 0.11953466 0.               0.08010052  0.02139684 -0.00075002  0.        
v_33_=_1110.4639/cm  1.0215836  0.84271433 0.11953466 0.               0.03216901  0.00297288 -0.00111464  0.        
v_34_=_1159.3392/cm  1.0215836  0.84271433 0.11953466 0.               0.03706188  0.00890925 -0.00048856  0.        
v_35_=_1177.8881/cm  1.0215836  0.84271433 0.11953466 0.               0.0717188   0.01284913 -0.00158695  0.        
v_36_=_1190.6930/cm  1.0215836  0.84271433 0.11953466 0.               0.09179354  0.00858116 -0.00318445  0.        
v_37_=_1212.5763/cm  1.0215836  0.84271433 0.11953466 0.               0.07047215  0.00727291 -0.00232579  0.        
v_38_=_1228.4588/cm  1.0215836  0.84271433 0.11953466 0.              0.54683762 0.23286909 0.0074442  0.        
v_39_=_1238.9638/cm  1.0215836  0.84271433 0.11953466 0.               0.40325017  0.12739489 -0.00093688  0.        
