"W" "change.in.polarisation" "change.in.intensity"
0 0.000833809513264505 0.305385342766513
10 0.0346544625270802 0.264900893451848
22 -0.24348734021807 0.162064621779933
30 -0.0849778853283566 0.272234308566696
40 -0.28898819624277 0.267480333634707
45 -0.017215066556038 0.291508702501691
50 -0.0511873186717529 0.272979776367407
60 -0.308440629111253 0.269855948486648
68 -0.113552549485619 0.169080550451842
80 0.0794635407627446 0.274857976248351
90 -0.0283760519185019 0.313900189471049
112 -0.140352145919783 0.174157464316746
135 -0.00794007436387123 0.277924433562476
158 0.109638422175776 0.172740129651842
180 0.00501066405619932 0.285680732215056
225 -0.0895492350767577 0.270867547834346
270 0.0792671223647003 0.247226269940227
315 -0.0109448723933327 0.287631904047877
