"W" "S0" "S1" "S2" "I" "polarisation"
0 1.05930487248757 1.05082597512446 0.00052834879063917 0.00156364166666667 0.991995916607123
10 1.00052216703553 0.962439356572132 0.287947886108232 0.00120140833333333 1.00406691984271
22 0.952360960567405 0.171909741619118 -0.670012415347501 0.0007076025 0.726315962054301
30 1.02258882303446 0.0708615202973925 0.874870989124616 0.00122162083333333 0.858347017748276
40 1.1463151557883 -0.402640900153817 0.650634099335942 0.0012015875 0.667480839089469
45 1.04041810169275 -0.976634619933775 0.289982809677982 0.0014756875 0.979198966682247
50 0.962346491165276 -0.855422912648686 0.297292611669205 0.00122479583333333 0.941044616955644
60 1.13584497370692 -0.761711683543807 -0.217847218153595 0.0012195375 0.697499486104151
68 1.06339132128999 -0.0082649179469868 0.92330413706528 0.0007402475 0.868298536361926
80 0.89041666311234 0.244116977760668 -0.928655235728304 0.001236775 1.07837717068904
90 1.00084177781453 0.971798434524943 0.0250978431447035 0.00159133333333333 0.971304848360243
112 1.0297726443687 0.59470657552624 0.613141563887371 0.000770024166666667 0.829481232787946
135 1.04257593117323 -1.02438493019527 0.0475977426233027 0.00141604583333333 0.983611946945823
158 0.912244763676123 -0.548961181797243 -0.782112064404804 0.000750661666666667 1.04746066515287
180 1.00804922422194 1.00552997441835 -0.0892177569010182 0.00144437083333333 1.00141958066136
225 1.07405172442245 -0.921757248007433 0.30453642338962 0.0013689375 0.903831702206078
270 1.03451027939122 0.928140536897336 -0.447124346549329 0.00123428333333333 0.995858371012833
315 1.05552191538975 -0.815942625147854 0.606789441520741 0.00145226666666667 0.96334917714546
