"W" "S0" "S1" "S2" "I" "polarisation"
-22 1 0.116564799623701 -0.934770877076657 0.00453615416666667 0.942010586533918
0 1 0.993985949974146 0.0178640250981912 0.00453325 0.994146464128256
10 1 0.757038335588415 0.640009620219561 0.00452372083333333 0.991322024129427
20 1 0.126424220709423 0.991051422429237 0.004506152 0.999082581912526
30 1 -0.532793980990146 0.846941034087354 0.00448401666666667 1.0005890971824
40 1 -0.901900673895604 0.270734371392231 0.004512925 0.94165913441462
50 1 -0.89793403059412 -0.429520759394211 0.00446121666666667 0.995376112858643
60 1 -0.43148968094434 -0.930603030257301 0.00446055416666667 1.02577061016853
70 1 0.264231256563804 -0.97749974441825 0.00443292083333333 1.01258279033521
80 1 0.798104940413813 -0.608503441317771 0.00447371666666667 1.0036174241256
90 1 0.994324900089531 -0.0636848510602629 0.0044587625 0.996362267045789
100 1 0.778104864822217 0.589898496799943 0.0044895125 0.976436079416791
110 1 0.250427042541571 0.899716176487677 0.0044909875 0.933918038089918
225 1 -0.98509482424306 0.00583678411084862 0.004444125 0.985112115852415
265 1 0.958042268329055 -0.261676755355521 0.004378175 0.993136300916684
