"exp" "wavenumber" "signal" "P" "color"
"Mit Mikroskop" 202.556 0.0118981737686774 0 45
"Mit Mikroskop" 207.649 0.0142651395651876 0 45
"Mit Mikroskop" 212.739 -0.0034207525655644 0 45
"Mit Mikroskop" 217.827 0.0114896988906499 0 45
"Mit Mikroskop" 222.911 0.00220135966332147 0 45
"Mit Mikroskop" 227.993 -0.00192176554460366 0 45
"Mit Mikroskop" 233.072 -0.0258125073330988 0 45
"Mit Mikroskop" 238.148 -0.00981573962459115 0 45
"Mit Mikroskop" 243.221 -0.00941054211650605 0 45
"Mit Mikroskop" 248.291 0.0148233931673423 0 45
"Mit Mikroskop" 253.359 0.026419136022849 0 45
"Mit Mikroskop" 258.423 0.0341726618705036 0 45
"Mit Mikroskop" 263.485 0.0294205406695709 0 45
"Mit Mikroskop" 268.544 0.0320071791803769 0 45
"Mit Mikroskop" 273.6 -0.00872735967481619 0 45
"Mit Mikroskop" 278.654 -0.00670344663937827 0 45
"Mit Mikroskop" 283.704 -0.00417875798026701 0 45
"Mit Mikroskop" 288.752 0.00344431687715274 0 45
"Mit Mikroskop" 293.797 0.00897042652931312 0 45
"Mit Mikroskop" 298.84 0.00355830368080268 0 45
"Mit Mikroskop" 303.879 -0.016686805915185 0 45
"Mit Mikroskop" 308.916 -0.029854121904331 0 45
"Mit Mikroskop" 313.949 -0.026281208935611 0 45
"Mit Mikroskop" 318.98 0.00169531158657787 0 45
"Mit Mikroskop" 324.009 -0.0068302847881454 0 45
"Mit Mikroskop" 329.034 -0.0287054926856196 0 45
"Mit Mikroskop" 334.057 -0.0328697850821745 0 45
"Mit Mikroskop" 339.077 -0.0131123758509094 0 45
"Mit Mikroskop" 344.094 -0.00249252243270193 0 45
"Mit Mikroskop" 349.108 0.031826646351786 0 45
"Mit Mikroskop" 354.12 0.022309264305177 0 45
"Mit Mikroskop" 359.129 -0.0136353639762482 0 45
"Mit Mikroskop" 364.135 -0.0124931805782869 0 45
"Mit Mikroskop" 369.138 0.00434471759335642 0 45
"Mit Mikroskop" 374.138 0.0218798839026568 0 45
"Mit Mikroskop" 379.136 0.0176877580627162 0 45
"Mit Mikroskop" 384.131 0.0182940030309593 0 45
"Mit Mikroskop" 389.123 -0.00133847306992185 0 45
"Mit Mikroskop" 394.113 0.00133547008546997 0 45
"Mit Mikroskop" 399.099 0.00112570356472808 0 45
"Mit Mikroskop" 404.083 0.0105469578121689 0 45
"Mit Mikroskop" 409.064 0.0117479717627225 0 45
"Mit Mikroskop" 414.043 0.0162931716319537 0 45
"Mit Mikroskop" 419.019 0.028738379814077 0 45
"Mit Mikroskop" 423.991 0.0170152812398396 0 45
"Mit Mikroskop" 428.962 0.000217983651226161 0 45
"Mit Mikroskop" 433.929 0.00444754045654272 0 45
"Mit Mikroskop" 438.894 0.0227069174437595 0 45
"Mit Mikroskop" 443.856 0.0226055281765589 0 45
"Mit Mikroskop" 448.815 0.013770735857082 0 45
"Mit Mikroskop" 453.771 -0.0211260383550406 0 45
"Mit Mikroskop" 458.725 -0.0106151746448971 0 45
"Mit Mikroskop" 463.676 0.0249343155942507 0 45
"Mit Mikroskop" 468.625 -0.00550220607318985 0 45
"Mit Mikroskop" 473.57 0.0043924613105879 0 45
"Mit Mikroskop" 478.513 -0.00493714053036076 0 45
"Mit Mikroskop" 483.453 -0.00265279053157852 0 45
"Mit Mikroskop" 488.391 -0.00396498455200822 0 45
"Mit Mikroskop" 493.325 -0.00153217568947905 0 45
