"exp" "wavenumber" "signal" "P" "color"
"Mit Mikroskop" 202.556 0.00170359547305851 0 45
"Mit Mikroskop" 207.649 0.0017184585535531 0 45
"Mit Mikroskop" 212.739 0.0017225887438767 0 45
"Mit Mikroskop" 217.827 0.00177192927212111 0 45
"Mit Mikroskop" 222.911 0.00178653992937992 0 45
"Mit Mikroskop" 227.993 0.00185405777071372 0 45
"Mit Mikroskop" 233.072 0.00190806080783538 0 45
"Mit Mikroskop" 238.148 0.00197763761371978 0 45
"Mit Mikroskop" 243.221 0.00196261559022052 0 45
"Mit Mikroskop" 248.291 0.00200015966118975 0 45
"Mit Mikroskop" 253.359 0.00196420285248247 0 45
"Mit Mikroskop" 258.423 0.00195976592449927 0 45
"Mit Mikroskop" 263.485 0.00195534840979962 0 45
"Mit Mikroskop" 268.544 0.00195095104976739 0 45
"Mit Mikroskop" 273.6 0.00187130619233697 0 45
"Mit Mikroskop" 278.654 0.00188516351357518 0 45
"Mit Mikroskop" 283.704 0.00192735914417698 0 45
"Mit Mikroskop" 288.752 0.00195905093342232 0 45
"Mit Mikroskop" 293.797 0.00194944945962887 0 45
"Mit Mikroskop" 298.84 0.00191936306036714 0 45
"Mit Mikroskop" 303.879 0.00190221503079347 0 45
"Mit Mikroskop" 308.916 0.00190557911386129 0 45
"Mit Mikroskop" 313.949 0.00188848674391613 0 45
"Mit Mikroskop" 318.98 0.00189431203809938 0 45
"Mit Mikroskop" 324.009 0.00189249943604151 0 45
"Mit Mikroskop" 329.034 0.00193625525297217 0 45
"Mit Mikroskop" 334.057 0.00193183042876864 0 45
"Mit Mikroskop" 339.077 0.00193750414148721 0 45
"Mit Mikroskop" 344.094 0.00196829016640281 0 45
"Mit Mikroskop" 349.108 0.00199389194707946 0 45
"Mit Mikroskop" 354.12 0.00195924912714703 0 45
"Mit Mikroskop" 359.129 0.0019472347582787 0 45
"Mit Mikroskop" 364.135 0.00196018311549174 0 45
"Mit Mikroskop" 369.138 0.00197307228011975 0 45
"Mit Mikroskop" 374.138 0.00197350627225279 0 45
"Mit Mikroskop" 379.136 0.00196156968522105 0 45
"Mit Mikroskop" 384.131 0.00201878903208516 0 45
"Mit Mikroskop" 389.123 0.00199685517957165 0 45
"Mit Mikroskop" 394.113 0.00200204407142944 0 45
"Mit Mikroskop" 399.099 0.00199005456920883 0 45
"Mit Mikroskop" 404.083 0.00202702275857782 0 45
"Mit Mikroskop" 409.064 0.00203698629030359 0 45
"Mit Mikroskop" 414.043 0.00203960173272751 0 45
"Mit Mikroskop" 419.019 0.00204463384644251 0 45
"Mit Mikroskop" 423.991 0.00197688873123682 0 45
"Mit Mikroskop" 428.962 0.00192876933268742 0 45
"Mit Mikroskop" 433.929 0.00196527347917823 0 45
"Mit Mikroskop" 438.894 0.00203047687187144 0 45
"Mit Mikroskop" 443.856 0.00199216971233485 0 45
"Mit Mikroskop" 448.815 0.00198517055701769 0 45
"Mit Mikroskop" 453.771 0.00198298232986695 0 45
"Mit Mikroskop" 458.725 0.00202842887067924 0 45
"Mit Mikroskop" 463.676 0.00205696727428661 0 45
"Mit Mikroskop" 468.625 0.00197623958060783 0 45
"Mit Mikroskop" 473.57 0.00202370259490414 0 45
"Mit Mikroskop" 478.513 0.00200718649106682 0 45
"Mit Mikroskop" 483.453 0.00200252704091683 0 45
"Mit Mikroskop" 488.391 0.00197673451993641 0 45
"Mit Mikroskop" 493.325 0.00199325267090636 0 45
"Mit Mikroskop" 498.257 0.00203535309301215 0 45
"Mit Mikroskop" 503.187 0.00200956948022807 0 45
"Mit Mikroskop" 508.113 0.00199322210336769 0 45
"Mit Mikroskop" 513.037 0.00203735093272446 0 45
"Mit Mikroskop" 517.958 0.00204187398861884 0 45
"Mit Mikroskop" 522.877 0.00201631571937655 0 45
"Mit Mikroskop" 527.792 0.00197934275177821 0 45
"Mit Mikroskop" 532.706 0.00201149828098239 0 45
"Mit Mikroskop" 537.616 0.00210319620138935 0 45
"Mit Mikroskop" 542.524 0.00212803322748355 0 45
"Mit Mikroskop" 547.429 0.00205448629977857 0 45
"Mit Mikroskop" 552.331 0.00199724347416953 0 45
"Mit Mikroskop" 557.23 0.00200395806176667 0 45
"Mit Mikroskop" 562.127 0.00198794741686227 0 45
"Mit Mikroskop" 567.022 0.00196062967562497 0 45
"Mit Mikroskop" 571.913 0.00196955087949899 0 45
"Mit Mikroskop" 576.802 0.00198068286702075 0 45
"Mit Mikroskop" 581.688 0.00201199531315806 0 45
"Mit Mikroskop" 586.572 0.0020409175977175 0 45
"Mit Mikroskop" 591.452 0.00204061822194954 0 45
"Mit Mikroskop" 596.331 0.00202469267906974 0 45
"Mit Mikroskop" 601.206 0.00198430899741848 0 45
"Mit Mikroskop" 606.079 0.00198627484515803 0 45
"Mit Mikroskop" 610.949 0.00200596414476199 0 45
"Mit Mikroskop" 615.817 0.00207199763603427 0 45
"Mit Mikroskop" 620.681 0.0020737448500417 0 45
"Mit Mikroskop" 625.544 0.00202265989523222 0 45
"Mit Mikroskop" 630.403 0.00198279442458956 0 45
"Mit Mikroskop" 635.26 0.00196501056380586 0 45
"Mit Mikroskop" 640.114 0.00200405580510813 0 45
"Mit Mikroskop" 644.966 0.00205817755161426 0 45
"Mit Mikroskop" 649.815 0.00207506700667905 0 45
"Mit Mikroskop" 654.661 0.00212008732879676 0 45
"Mit Mikroskop" 659.505 0.00209561880095007 0 45
"Mit Mikroskop" 664.346 0.0021036628323586 0 45
"Mit Mikroskop" 669.184 0.00204271725402727 0 45
"Mit Mikroskop" 674.02 0.00204432259207158 0 45
"Mit Mikroskop" 678.853 0.00203303962735415 0 45
"Mit Mikroskop" 683.683 0.00205176331873804 0 45
"Mit Mikroskop" 688.511 0.00199996189250278 0 45
"Mit Mikroskop" 693.336 0.00193349914144936 0 45
"Mit Mikroskop" 698.159 0.0019140850786309 0 45
"Mit Mikroskop" 702.978 0.00199225685840362 0 45
"Mit Mikroskop" 707.796 0.00203195181938705 0 45
