"wavenumber" "waveplate" "signal"
251.571 "0" 0.00346283183771299
251.571 "10" 0.000712400649817266
251.571 "20" -0.000566084829411658
251.571 "30" 0.00088288924082295
251.571 "40" 0.00261440414052471
251.571 "50" 0.00448195089475903
251.571 "60" 0.00354203053883855
251.571 "70" 0.00177222426401255
251.571 "80" 0.00066823158742116
251.571 "90" 0.00186011563228114
256.636 "0" 0.00205615233713451
256.636 "10" 0.00625583544647106
256.636 "20" 0.0100131620961035
256.636 "30" 0.00925741801211517
256.636 "40" 0.00738991308158056
256.636 "50" 0.00248850048914461
256.636 "60" 0.00430746403799517
256.636 "70" 0.00553888451670115
256.636 "80" 0.0059031515439661
256.636 "90" 0.00208432237298073
261.698 "0" 0.00688855144566594
261.698 "10" 0.00105713192591669
261.698 "20" 0.000756927475544398
261.698 "30" -0.00271105762741629
261.698 "40" 0.00196729478697298
261.698 "50" -0.000559400262073115
261.698 "60" -0.00102910609180325
261.698 "70" 0.00221709223178327
261.698 "80" 0.00359703927076893
261.698 "90" 0.00592673718037014
266.758 "0" 0.0122224278672342
266.758 "10" 0.00776647998918296
266.758 "20" 0.0046057189768093
266.758 "30" 0.00721560701144705
266.758 "40" 0.000126944891817814
266.758 "50" 0.00626580588470795
266.758 "60" 0.0061285889141125
266.758 "70" 0.00478268794606006
266.758 "80" 0.00526422386518147
266.758 "90" 0.0105324561341753
271.814 "0" 0.0141937685376622
271.814 "10" 0.0125923419709466
271.814 "20" 0.0111675251193665
271.814 "30" 0.0157522693050689
271.814 "40" 0.0128422008434623
271.814 "50" 0.0159729011720729
271.814 "60" 0.0182602314403107
271.814 "70" 0.0147570799064577
271.814 "80" 0.0179493341898332
271.814 "90" 0.0216008280620798
276.868 "0" 0.00740497386070735
276.868 "10" 0.00201501415252267
276.868 "20" 0.0070400336449128
276.868 "30" 0.00950235244430838
276.868 "40" 0.0161150463193716
276.868 "50" 0.0134706783050346
276.868 "60" 0.0179121455664543
276.868 "70" 0.016198821505229
276.868 "80" 0.0180223051778015
276.868 "90" 0.0170219431134874
281.919 "0" 0.00249954167146836
281.919 "10" 0.00767365218976994
281.919 "20" 0.0132978470064464
281.919 "30" 0.0177916095245015
281.919 "40" 0.0226259852316898
281.919 "50" 0.0137890814119614
281.919 "60" 0.0110167162937067
281.919 "70" 0.0195809564123049
281.919 "80" 0.0106976392012485
281.919 "90" 0.00877692685355533
286.967 "0" 0.000442012531888186
286.967 "10" 0.00975720892236084
286.967 "20" 0.00931240486136367
286.967 "30" 0.00802426561260648
286.967 "40" 0.00714511281744747
286.967 "50" 0.00471515822387886
286.967 "60" 0.00841795901252718
286.967 "70" 0.00826037751409435
286.967 "80" 0.0105550353130117
286.967 "90" 0.00606705798169373
292.012 "0" 0.000486294278902719
292.012 "10" 0.000285459196176358
292.012 "20" -0.00324474153678252
292.012 "30" 0.000757970509303305
292.012 "40" 0.00218797822119075
292.012 "50" 0.00619534527473797
292.012 "60" 0.00697941981880029
292.012 "70" 0.00637786093849235
292.012 "80" 0.00474779081676584
292.012 "90" 0.00523303652258453
297.055 "0" 0.0011413865084491
297.055 "10" -0.00135098301474707
297.055 "20" 0.00199542236412049
297.055 "30" 0.00217802836132506
297.055 "40" 0.000949083530780085
297.055 "50" 0.00206904508226395
297.055 "60" -0.00268822492588018
297.055 "70" -0.00575359190867536
297.055 "80" -0.00478557631999386
297.055 "90" -0.00131445552870101
302.094 "0" 0.00811968569396126
302.094 "10" 0.00992463220650435
302.094 "20" 0.00786192665195298
302.094 "30" 0.00595470589941025
302.094 "40" 0.00756644335936917
302.094 "50" 0.000534128556110975
302.094 "60" 0.0019589542316912
302.094 "70" 0.000797270743302254
302.094 "80" 0.00157145517359556
302.094 "90" 0.00233274444442599
307.131 "0" 0.00180328493124843
307.131 "10" -0.00235219428079255
307.131 "20" 0.00153000101910233
307.131 "30" -0.00211170710424101
307.131 "40" -0.00292548918486517
307.131 "50" -0.00190302942117964
307.131 "60" -0.00192934562958947
307.131 "70" 0.00457369912664146
307.131 "80" 0.00397484042065353
307.131 "90" -2.29066495730739e-05
312.165 "0" 0.00352513852435154
312.165 "10" -0.000937560572409455
312.165 "20" -0.0044223265299494
312.165 "30" -0.00240908034106758
312.165 "40" -0.00299370947155722
312.165 "50" 0.00325818332499987
312.165 "60" 0.0057044881882862
312.165 "70" 0.00628457022665037
312.165 "80" 0.002788281752414
312.165 "90" 0.004415851785736
317.196 "0" 0.0026764226919615
317.196 "10" 0.00197334716514634
317.196 "20" 0.000713558829904258
317.196 "30" 0.00531144602105717
317.196 "40" 0.00894139456939772
317.196 "50" 0.00597521315400253
317.196 "60" 0.0104676303780838
317.196 "70" 0.011039972182787
317.196 "80" 0.00572961503481501
317.196 "90" 0.00981432749260852
322.225 "0" -0.00447710780234827
322.225 "10" -0.00158043564043749
322.225 "20" 0.00754667874221177
322.225 "30" 0.00675872584091599
322.225 "40" 0.00692264604114039
322.225 "50" 0.0138804908298245
322.225 "60" 0.0135620261829598
322.225 "70" 0.0145618738639426
322.225 "80" 0.0135340854612727
322.225 "90" 0.0145734150068337
327.251 "0" 0.000296411963540887
327.251 "10" 0.00335059365766385
327.251 "20" 0.00681371730916562
327.251 "30" 0.00821409045504986
327.251 "40" 0.0108428018421906
327.251 "50" 0.00933409228745941
327.251 "60" 0.0128233862891175
327.251 "70" 0.0088203639562552
327.251 "80" 0.0108470477089305
327.251 "90" 0.00833113107429244
332.274 "0" 0.00625767440080109
332.274 "10" 0.00616963780553397
332.274 "20" 0.0060918248208826
332.274 "30" 0.0109408968442884
332.274 "40" 0.0029136461293045
332.274 "50" 0.00781985091520414
332.274 "60" 0.00105218706243651
332.274 "70" 0.00352140909617182
332.274 "80" -0.000687083794315936
332.274 "90" -0.00598554835818095
337.294 "0" 0.000236175019372242
337.294 "10" 0.00771584895241409
337.294 "20" 0.00666737503089229
337.294 "30" 0.00490668023747988
337.294 "40" 0.0056866194894914
