"waveplate" "wavenumber" "source" "signal" "group"
0 "222 / cm" "exp" 0.207959222277407 "222 / cmexp"
0 "222 / cm" "sim" 0.210697626632052 "222 / cmsim"
10 "222 / cm" "exp" 0.212032077977464 "222 / cmexp"
10 "222 / cm" "sim" 0.211431352342713 "222 / cmsim"
20 "222 / cm" "exp" 0.218930204603558 "222 / cmexp"
20 "222 / cm" "sim" 0.214965127194665 "222 / cmsim"
30 "222 / cm" "exp" 0.223603197786045 "222 / cmexp"
30 "222 / cm" "sim" 0.218919186676831 "222 / cmsim"
40 "222 / cm" "exp" 0.221981905126143 "222 / cmexp"
40 "222 / cm" "sim" 0.224506996019951 "222 / cmsim"
50 "222 / cm" "exp" 0.220457338504325 "222 / cmexp"
50 "222 / cm" "sim" 0.220576619005721 "222 / cmsim"
60 "222 / cm" "exp" 0.210664343593585 "222 / cmexp"
60 "222 / cm" "sim" 0.215025672582806 "222 / cmsim"
70 "222 / cm" "exp" 0.211346974666695 "222 / cmexp"
70 "222 / cm" "sim" 0.21036119442456 "222 / cmsim"
80 "222 / cm" "exp" 0.209369740592386 "222 / cmexp"
80 "222 / cm" "sim" 0.208934881992208 "222 / cmsim"
90 "222 / cm" "exp" 0.209608387287477 "222 / cmexp"
90 "222 / cm" "sim" 0.210534735543578 "222 / cmsim"
0 "318 / cm" "exp" 0.308680561488252 "318 / cmexp"
0 "318 / cm" "sim" 0.30359936955908 "318 / cmsim"
10 "318 / cm" "exp" 0.311525540437973 "318 / cmexp"
10 "318 / cm" "sim" 0.304390537271852 "318 / cmsim"
20 "318 / cm" "exp" 0.316466188159555 "318 / cmexp"
20 "318 / cm" "sim" 0.308200449230026 "318 / cmsim"
30 "318 / cm" "exp" 0.318170465363473 "318 / cmexp"
30 "318 / cm" "sim" 0.312464485365934 "318 / cmsim"
40 "318 / cm" "exp" 0.31661426822279 "318 / cmexp"
40 "318 / cm" "sim" 0.318492441649098 "318 / cmsim"
50 "318 / cm" "exp" 0.308839650913888 "318 / cmexp"
50 "318 / cm" "sim" 0.314252121578683 "318 / cmsim"
60 "318 / cm" "exp" 0.303917696512682 "318 / cmexp"
60 "318 / cm" "sim" 0.308265332153663 "318 / cmsim"
70 "318 / cm" "exp" 0.295129602009318 "318 / cmexp"
70 "318 / cm" "sim" 0.303236422859125 "318 / cmsim"
80 "318 / cm" "exp" 0.297303204622601 "318 / cmexp"
80 "318 / cm" "sim" 0.301699162210031 "318 / cmsim"
90 "318 / cm" "exp" 0.301376945109344 "318 / cmexp"
90 "318 / cm" "sim" 0.303423800962388 "318 / cmsim"
0 "463 / cm" "exp" 0.605093031118031 "463 / cmexp"
0 "463 / cm" "sim" 0.606870289913981 "463 / cmsim"
10 "463 / cm" "exp" 0.606253653785842 "463 / cmexp"
10 "463 / cm" "sim" 0.606108020118883 "463 / cmsim"
20 "463 / cm" "exp" 0.602971613417844 "463 / cmexp"
20 "463 / cm" "sim" 0.602815693001789 "463 / cmsim"
30 "463 / cm" "exp" 0.597030433027279 "463 / cmexp"
30 "463 / cm" "sim" 0.599164929097683 "463 / cmsim"
40 "463 / cm" "exp" 0.597914559204811 "463 / cmexp"
40 "463 / cm" "sim" 0.5938720335 "463 / cmsim"
50 "463 / cm" "exp" 0.595501398966088 "463 / cmexp"
50 "463 / cm" "sim" 0.597545873549883 "463 / cmsim"
60 "463 / cm" "exp" 0.598306071353242 "463 / cmexp"
60 "463 / cm" "sim" 0.602834694984979 "463 / cmsim"
70 "463 / cm" "exp" 0.608202136974488 "463 / cmexp"
70 "463 / cm" "sim" 0.607292844803181 "463 / cmsim"
80 "463 / cm" "exp" 0.60755635605478 "463 / cmexp"
80 "463 / cm" "sim" 0.608595147146142 "463 / cmsim"
90 "463 / cm" "exp" 0.613285730645774 "463 / cmexp"
90 "463 / cm" "sim" 0.607015458431659 "463 / cmsim"
0 "765 / cm" "exp" 0.039964290111844 "765 / cmexp"
0 "765 / cm" "sim" 0.039946209508527 "765 / cmsim"
10 "765 / cm" "exp" 0.0381229607572604 "765 / cmexp"
10 "765 / cm" "sim" 0.0400260500762254 "765 / cmsim"
20 "765 / cm" "exp" 0.0406753685341706 "765 / cmexp"
20 "765 / cm" "sim" 0.0404105244495067 "765 / cmsim"
30 "765 / cm" "exp" 0.0405981153030266 "765 / cmexp"
30 "765 / cm" "sim" 0.0408408265031681 "765 / cmsim"
40 "765 / cm" "exp" 0.0399388958013103 "765 / cmexp"
40 "765 / cm" "sim" 0.0414491334838144 "765 / cmsim"
50 "765 / cm" "exp" 0.0435469589126781 "765 / cmexp"
50 "765 / cm" "sim" 0.0410212242198235 "765 / cmsim"
60 "765 / cm" "exp" 0.0398411156940136 "765 / cmexp"
60 "765 / cm" "sim" 0.0404170715311097 "765 / cmsim"
70 "765 / cm" "exp" 0.0399520826806574 "765 / cmexp"
70 "765 / cm" "sim" 0.0399095833537838 "765 / cmsim"
80 "765 / cm" "exp" 0.0391918225670267 "765 / cmexp"
80 "765 / cm" "sim" 0.0397544515645645 "765 / cmsim"
90 "765 / cm" "exp" 0.0418719568742569 "765 / cmexp"
90 "765 / cm" "sim" 0.0399284925457215 "765 / cmsim"
0 "794 / cm" "exp" 0.0432897202731276 "794 / cmexp"
0 "794 / cm" "sim" 0.0429323508298137 "794 / cmsim"
10 "794 / cm" "exp" 0.0443252749332071 "794 / cmexp"
10 "794 / cm" "sim" 0.0429388581385108 "794 / cmsim"
20 "794 / cm" "exp" 0.0434202475953336 "794 / cmexp"
20 "794 / cm" "sim" 0.0429701942562915 "794 / cmsim"
30 "794 / cm" "exp" 0.0453322804559355 "794 / cmexp"
30 "794 / cm" "sim" 0.0430052655036147 "794 / cmsim"
40 "794 / cm" "exp" 0.0405018929846608 "794 / cmexp"
40 "794 / cm" "sim" 0.0430548448267555 "794 / cmsim"
50 "794 / cm" "exp" 0.0427288589571661 "794 / cmexp"
50 "794 / cm" "sim" 0.0430199686008542 "794 / cmsim"
60 "794 / cm" "exp" 0.0453001922440017 "794 / cmexp"
60 "794 / cm" "sim" 0.0429707278682419 "794 / cmsim"
70 "794 / cm" "exp" 0.0417263947857712 "794 / cmexp"
70 "794 / cm" "sim" 0.0429293656594652 "794 / cmsim"
80 "794 / cm" "exp" 0.0397116631130245 "794 / cmexp"
80 "794 / cm" "sim" 0.042916721831017 "794 / cmsim"
90 "794 / cm" "exp" 0.0433326790025707 "794 / cmexp"
90 "794 / cm" "sim" 0.0429309068302346 "794 / cmsim"
0 "Zusammenfassung" "exp" 0.207959222277407 "222 / cmexp"
0 "Zusammenfassung" "sim" 0.210697626632052 "222 / cmsim"
10 "Zusammenfassung" "exp" 0.212032077977464 "222 / cmexp"
10 "Zusammenfassung" "sim" 0.211431352342713 "222 / cmsim"
20 "Zusammenfassung" "exp" 0.218930204603558 "222 / cmexp"
20 "Zusammenfassung" "sim" 0.214965127194665 "222 / cmsim"
30 "Zusammenfassung" "exp" 0.223603197786045 "222 / cmexp"
30 "Zusammenfassung" "sim" 0.218919186676831 "222 / cmsim"
40 "Zusammenfassung" "exp" 0.221981905126143 "222 / cmexp"
40 "Zusammenfassung" "sim" 0.224506996019951 "222 / cmsim"
50 "Zusammenfassung" "exp" 0.220457338504325 "222 / cmexp"
50 "Zusammenfassung" "sim" 0.220576619005721 "222 / cmsim"
60 "Zusammenfassung" "exp" 0.210664343593585 "222 / cmexp"
60 "Zusammenfassung" "sim" 0.215025672582806 "222 / cmsim"
70 "Zusammenfassung" "exp" 0.211346974666695 "222 / cmexp"
70 "Zusammenfassung" "sim" 0.21036119442456 "222 / cmsim"
80 "Zusammenfassung" "exp" 0.209369740592386 "222 / cmexp"
80 "Zusammenfassung" "sim" 0.208934881992208 "222 / cmsim"
90 "Zusammenfassung" "exp" 0.209608387287477 "222 / cmexp"
90 "Zusammenfassung" "sim" 0.210534735543578 "222 / cmsim"
0 "Zusammenfassung" "exp" 0.308680561488252 "318 / cmexp"
0 "Zusammenfassung" "sim" 0.30359936955908 "318 / cmsim"
10 "Zusammenfassung" "exp" 0.311525540437973 "318 / cmexp"
10 "Zusammenfassung" "sim" 0.304390537271852 "318 / cmsim"
20 "Zusammenfassung" "exp" 0.316466188159555 "318 / cmexp"
20 "Zusammenfassung" "sim" 0.308200449230026 "318 / cmsim"
30 "Zusammenfassung" "exp" 0.318170465363473 "318 / cmexp"
30 "Zusammenfassung" "sim" 0.312464485365934 "318 / cmsim"
40 "Zusammenfassung" "exp" 0.31661426822279 "318 / cmexp"
40 "Zusammenfassung" "sim" 0.318492441649098 "318 / cmsim"
50 "Zusammenfassung" "exp" 0.308839650913888 "318 / cmexp"
50 "Zusammenfassung" "sim" 0.314252121578683 "318 / cmsim"
60 "Zusammenfassung" "exp" 0.303917696512682 "318 / cmexp"
60 "Zusammenfassung" "sim" 0.308265332153663 "318 / cmsim"
70 "Zusammenfassung" "exp" 0.295129602009318 "318 / cmexp"
70 "Zusammenfassung" "sim" 0.303236422859125 "318 / cmsim"
80 "Zusammenfassung" "exp" 0.297303204622601 "318 / cmexp"
80 "Zusammenfassung" "sim" 0.301699162210031 "318 / cmsim"
90 "Zusammenfassung" "exp" 0.301376945109344 "318 / cmexp"
90 "Zusammenfassung" "sim" 0.303423800962388 "318 / cmsim"
0 "Zusammenfassung" "exp" 0.605093031118031 "463 / cmexp"
0 "Zusammenfassung" "sim" 0.606870289913981 "463 / cmsim"
10 "Zusammenfassung" "exp" 0.606253653785842 "463 / cmexp"
10 "Zusammenfassung" "sim" 0.606108020118883 "463 / cmsim"
20 "Zusammenfassung" "exp" 0.602971613417844 "463 / cmexp"
20 "Zusammenfassung" "sim" 0.602815693001789 "463 / cmsim"
30 "Zusammenfassung" "exp" 0.597030433027279 "463 / cmexp"
30 "Zusammenfassung" "sim" 0.599164929097683 "463 / cmsim"
40 "Zusammenfassung" "exp" 0.597914559204811 "463 / cmexp"
40 "Zusammenfassung" "sim" 0.5938720335 "463 / cmsim"
50 "Zusammenfassung" "exp" 0.595501398966088 "463 / cmexp"
50 "Zusammenfassung" "sim" 0.597545873549883 "463 / cmsim"
60 "Zusammenfassung" "exp" 0.598306071353242 "463 / cmexp"
60 "Zusammenfassung" "sim" 0.602834694984979 "463 / cmsim"
70 "Zusammenfassung" "exp" 0.608202136974488 "463 / cmexp"
70 "Zusammenfassung" "sim" 0.607292844803181 "463 / cmsim"
80 "Zusammenfassung" "exp" 0.60755635605478 "463 / cmexp"
80 "Zusammenfassung" "sim" 0.608595147146142 "463 / cmsim"
90 "Zusammenfassung" "exp" 0.613285730645774 "463 / cmexp"
90 "Zusammenfassung" "sim" 0.607015458431659 "463 / cmsim"
0 "Zusammenfassung" "exp" 0.039964290111844 "765 / cmexp"
0 "Zusammenfassung" "sim" 0.039946209508527 "765 / cmsim"
10 "Zusammenfassung" "exp" 0.0381229607572604 "765 / cmexp"
10 "Zusammenfassung" "sim" 0.0400260500762254 "765 / cmsim"
20 "Zusammenfassung" "exp" 0.0406753685341706 "765 / cmexp"
20 "Zusammenfassung" "sim" 0.0404105244495067 "765 / cmsim"
30 "Zusammenfassung" "exp" 0.0405981153030266 "765 / cmexp"
30 "Zusammenfassung" "sim" 0.0408408265031681 "765 / cmsim"
40 "Zusammenfassung" "exp" 0.0399388958013103 "765 / cmexp"
40 "Zusammenfassung" "sim" 0.0414491334838144 "765 / cmsim"
50 "Zusammenfassung" "exp" 0.0435469589126781 "765 / cmexp"
50 "Zusammenfassung" "sim" 0.0410212242198235 "765 / cmsim"
60 "Zusammenfassung" "exp" 0.0398411156940136 "765 / cmexp"
60 "Zusammenfassung" "sim" 0.0404170715311097 "765 / cmsim"
70 "Zusammenfassung" "exp" 0.0399520826806574 "765 / cmexp"
70 "Zusammenfassung" "sim" 0.0399095833537838 "765 / cmsim"
80 "Zusammenfassung" "exp" 0.0391918225670267 "765 / cmexp"
80 "Zusammenfassung" "sim" 0.0397544515645645 "765 / cmsim"
90 "Zusammenfassung" "exp" 0.0418719568742569 "765 / cmexp"
90 "Zusammenfassung" "sim" 0.0399284925457215 "765 / cmsim"
0 "Zusammenfassung" "exp" 0.0432897202731276 "794 / cmexp"
0 "Zusammenfassung" "sim" 0.0429323508298137 "794 / cmsim"
10 "Zusammenfassung" "exp" 0.0443252749332071 "794 / cmexp"
10 "Zusammenfassung" "sim" 0.0429388581385108 "794 / cmsim"
20 "Zusammenfassung" "exp" 0.0434202475953336 "794 / cmexp"
20 "Zusammenfassung" "sim" 0.0429701942562915 "794 / cmsim"
30 "Zusammenfassung" "exp" 0.0453322804559355 "794 / cmexp"
30 "Zusammenfassung" "sim" 0.0430052655036147 "794 / cmsim"
40 "Zusammenfassung" "exp" 0.0405018929846608 "794 / cmexp"
40 "Zusammenfassung" "sim" 0.0430548448267555 "794 / cmsim"
50 "Zusammenfassung" "exp" 0.0427288589571661 "794 / cmexp"
50 "Zusammenfassung" "sim" 0.0430199686008542 "794 / cmsim"
60 "Zusammenfassung" "exp" 0.0453001922440017 "794 / cmexp"
60 "Zusammenfassung" "sim" 0.0429707278682419 "794 / cmsim"
70 "Zusammenfassung" "exp" 0.0417263947857712 "794 / cmexp"
70 "Zusammenfassung" "sim" 0.0429293656594652 "794 / cmsim"
80 "Zusammenfassung" "exp" 0.0397116631130245 "794 / cmexp"
80 "Zusammenfassung" "sim" 0.042916721831017 "794 / cmsim"
90 "Zusammenfassung" "exp" 0.0433326790025707 "794 / cmexp"
90 "Zusammenfassung" "sim" 0.0429309068302346 "794 / cmsim"
